Trade #,Day,Session,Entry model,Entry method,Liquidity Distance,+ R (%),Potential R,Win,Loss,BE,RSI,Candle Close,News,Entry Type,Trade Score,Close,Leg-out Strength,Open,SL Pips,Time at Base,Zone Formation,Zone Type
14,Wednesday,"Sydney, Tokyo",S&D Retest,Candle Close,2.2,-1%,3%,,Loss,,Between,Bullish,No,BOC,B,"February 8, 2023 9:50 (GMT+2)",Strong,"February 8, 2023 9:40 (GMT+2)",7,Weak,Rally Base Drop,Supply
15,Wednesday,London,S&D Retest,Candle Close,0.8,-1%,3%,,Loss,,Between,Bullish,No,BOC,A,"February 8, 2023 11:15 (GMT+2)",Strong,"February 8, 2023 10:55 (GMT+2)",6.3,Weak,Rally Base Rally,Demand
16,Wednesday,"London, New York",S&D Retest,Candle Close,1,-1%,2.5%,,Loss,,Between,Beraish,No,BOC,B+,"February 9, 2023 15:50 (GMT+2)",Strongest,"February 9, 2023 14:30 (GMT+2)",8.6,Weak,Rally Base Rally,Demand
17,Thursday,New York,S&D Retest,Candle Close,6.7,2%,2%,,,,Between,Bullish,No,Default,A+,"February 9, 2023 21:05 (GMT+2)",Strongest,"February 9, 2023 18:55 (GMT+2)",12,Strong,Rally Base Rally,Demand
18,Monday,New York,S&D Retest,Candle Close,5.5,2.5%,2.5%,,,,Between,Bullish,No,BOC,B+,"February 13, 2023 22:05 (GMT+2)",Strongest,"February 13, 2023 21:00 (GMT+2)",8.8,Strongest,Drop Base Drop,Supply
19,Tuesday,"London, New York",S&D Retest,Candle Close,2.7,-1%,2.5%,,Loss,,Between,Bullish,No,Flip,A+,"February 14, 2023 14:45 (GMT+2)",Strongest,"February 14, 2023 14:15 (GMT+2)",7.6,Weak,Rally Base Rally,Demand
20,Wednesday,New York,S&D Retest,Candle Close,6.4,-1%,2%,,Loss,,Between,Beraish,No,Flip,A+,"February 15, 2023 18:40 (GMT+2)",Strong,"February 15, 2023 18:10 (GMT+2)",10.8,Weak,Rally Base Drop,Supply
21,Wednesday,"Sydney, Tokyo",S&D Retest,Candle Close,1.3,4.5%,4.5%,,,,Between,Beraish,No,Default,B,"February 15, 2023 8:25 (GMT+2)",Strongest,"March 1, 2023 7:50 (GMT+2)",3,Strong,Drop Base Rally,Demand
22,Thursday,New York,S&D Retest,Candle Close,10.6,-1%,3%,,Loss,,Between,Beraish,No,Default,A+,"March 2, 2023 19:30 (GMT+2)",Strongest,"March 2, 2023 18:00 (GMT+2)",7.6,Weak,Drop Base Rally,Supply
23,Monday,New York,S&D Retest,Candle Close,3.2,-1%,2.5%,,Loss,,Between,Bullish,No,Default,B+,"March 6, 2023 17:50 (GMT+2)",Strong,"March 6, 2023 17:05 (GMT+2)",8.3,Weak,Drop Base Drop,Supply
24,Tuesday,New York,S&D Retest,Candle Close,3.2,3%,3%,,,,Between,Bullish,No,Default,B,"March 7, 2023 9:45 (GMT+2)",Strongest,"March 7, 2023 9:15 (GMT+2)",8.3,Strongest,Rally Base Drop,Supply
25,Thursday,"London, New York",S&D Retest,Candle Close,3.5,2%,2%,,,,Between,Beraish,No,Default,B,"March 9, 2023 16:00 (GMT+2)",Strongest,"March 9, 2023 15:40 (GMT+2)",12.5,Strong,Rally Base Rally,Demand
26,Friday,"Sydney, Tokyo",S&D Retest,Candle Close,3.7,3%,3%,,,,Between,Beraish,No,Default,B,"March 17, 2023 8:15 (GMT+2)",Strong,"March 17, 2023 8:00 (GMT+2)",7.7,Strong,Rally Base Drop,Supply
27,Tuesday,"London, New York",S&D Retest,Candle Close,6.2,2%,2%,,,,Between,Beraish,No,Default,C+,"March 21, 2023 20:35 (GMT+2)",Strong,"March 21, 2023 16:35 (GMT+2)",25.3,Strongest,Rally Base Rally,Demand
28,Wednesday,"London, New York",S&D Retest,Candle Close,8,-1%,2.5%,,Loss,,Between,Bullish,No,Default,A,"March 22, 2023 16:15 (GMT+2)",Strong,"March 22, 2023 15:45 (GMT+2)",9.9,Strong,Rally Base Rally,Demand
29,Thursday,New York,S&D Retest,Candle Close,7.2,-1%,2%,,Loss,,Between,Bullish,No,Default,A,"March 23, 2023 19:25 (GMT+2)",Strongest,"March 23, 2023 18:50 (GMT+2)",12.2,Strong,Rally Base Rally,Demand
30,Friday,"Sydney, Tokyo",S&D Retest,Candle Close,3.3,3%,3%,,,,Between,Beraish,No,Flip,A+,"March 24, 2023 9:30 (GMT+3)",Strongest,"March 24, 2023 9:15 (GMT+3)",4.9,Weak,Drop Base Drop,Supply
31,Wednesday,"London, Tokyo",S&D Retest,Candle Close,4,3%,3%,,,,Between,Bullish,No,Flip,A,"March 29, 2023 10:00 (GMT+3)",Strongest,"March 29, 2023 9:30 (GMT+3)",8,Weak,Rally Base Rally,Demand
32,Friday,Sydney,S&D Retest,Candle Close,1.5,-1%,2.5%,,Loss,,Between,Bullish,No,Flip,B,"March 31, 2023 8:30 (GMT+3)",Strongest,"March 31, 2023 8:20 (GMT+3)",10.2,Weak,Rally Base Drop,Demand
33,Friday,London,S&D Retest,Candle Close,3,-1%,2.5%,,Loss,,Between,Beraish,No,Flip,B+,"March 31, 2023 14:55 (GMT+3)",Strong,"March 31, 2023 14:30 (GMT+3)",7.1,Weak,Drop Base Rally,Demand
34,Monday,"London, New York",S&D Retest,Candle Close,6.3,2.5%,2.5%,,,,Between,Bullish,No,Default,A+,"April 3, 2023 15:20 (GMT+3)",Strong,"April 3, 2023 14:35 (GMT+3)",10.3,Strongest,Drop Base Rally,Demand
35,Monday,"New York, Tokyo",S&D Retest,Candle Close,7.8,3%,3%,,,,Between,Bullish,No,Default,A,"April 10, 2023 2:00 (GMT+3)",Strongest,"April 10, 2023 19:00 (GMT+3)",6,Strongest,Rally Base Rally,Demand
36,Tuesday,London,S&D Retest,Candle Close,3.9,2%,2%,,,,Between,Beraish,No,Default,B,"April 11, 2023 11:40 (GMT+3)",Strongest,"April 11, 2023 10:45 (GMT+3)",12,Weak,Drop Base Rally,Demand
