test_id,symbol,status,liq_pivot_len,structure_mode,pvtMax,liq_max_distance_pips,ai_quality_threshold,min_entry_grade,min_return_strength,risk_reward_ratio,max_trades_per_day
55,GBPUSD,pending,5,Relaxed (Wicks),5,10,60,C,30,2.0,1
56,GBPUSD,pending,3,Standard (Bodies),10,20,50,A,30,3.0,1
57,GBPUSD,pending,3,Standard (Bodies),5,15,50,C,30,2.0,2
58,GBPUSD,pending,3,Relaxed (Wicks),10,20,50,B+,30,3.0,2
59,GBPUSD,pending,7,Standard (Bodies),10,15,50,B+,50,3.0,2
60,GBPUSD,pending,7,Relaxed (Wicks),10,10,60,A,0,2.0,2
61,GBPUSD,pending,3,Relaxed (Wicks),10,15,60,C,30,3.0,1
62,GBPUSD,pending,7,Relaxed (Wicks),10,20,70,B+,50,1.5,2
63,GBPUSD,pending,5,Standard (Bodies),10,10,60,C,0,1.5,1
64,GBPUSD,pending,3,Relaxed (Wicks),5,15,60,A,30,2.0,1
65,GBPUSD,pending,3,Relaxed (Wicks),5,15,60,B+,30,3.0,1
66,GBPUSD,pending,3,Relaxed (Wicks),10,15,70,C,30,3.0,2
67,GBPUSD,pending,3,Standard (Bodies),10,20,50,C,30,2.0,2
68,GBPUSD,pending,3,Standard (Bodies),10,20,70,C,50,2.0,2
69,GBPUSD,pending,7,Relaxed (Wicks),5,15,60,B+,50,3.0,2
70,GBPUSD,pending,7,Standard (Bodies),5,10,60,C,50,3.0,2
71,GBPUSD,pending,3,Relaxed (Wicks),5,15,60,C,0,1.5,2
72,GBPUSD,pending,7,Relaxed (Wicks),10,15,60,C,30,1.5,2
73,GBPUSD,pending,3,Standard (Bodies),10,15,50,C,30,2.0,1
74,GBPUSD,pending,7,Standard (Bodies),5,20,70,B+,50,1.5,2
75,GBPUSD,pending,7,Standard (Bodies),10,20,60,B+,0,2.0,2
76,GBPUSD,pending,7,Relaxed (Wicks),10,10,60,A,0,1.5,1
77,GBPUSD,pending,5,Standard (Bodies),10,10,50,B+,50,3.0,1
78,GBPUSD,pending,3,Standard (Bodies),10,20,50,B+,0,3.0,2
79,GBPUSD,pending,5,Standard (Bodies),10,15,70,C,30,1.5,2
80,GBPUSD,pending,7,Relaxed (Wicks),10,20,70,B+,0,2.0,2
81,GBPUSD,pending,5,Relaxed (Wicks),5,20,50,C,30,3.0,1
82,GBPUSD,pending,3,Relaxed (Wicks),5,10,50,A,50,3.0,2
83,GBPUSD,pending,3,Standard (Bodies),5,20,50,C,30,3.0,2
84,GBPUSD,pending,7,Standard (Bodies),10,20,50,A,50,1.5,2
85,GBPUSD,pending,5,Standard (Bodies),10,10,60,C,30,1.5,1
86,GBPUSD,pending,5,Relaxed (Wicks),10,20,50,B+,50,2.0,2
87,GBPUSD,pending,5,Relaxed (Wicks),5,20,50,C,30,2.0,1
88,GBPUSD,pending,3,Standard (Bodies),5,15,70,B+,50,1.5,2
89,GBPUSD,pending,3,Standard (Bodies),10,15,70,B+,50,3.0,2
90,GBPUSD,pending,5,Relaxed (Wicks),10,20,50,C,0,2.0,2
91,GBPUSD,pending,3,Relaxed (Wicks),10,20,50,B+,30,2.0,2
92,GBPUSD,pending,3,Relaxed (Wicks),10,15,70,C,0,2.0,2
93,GBPUSD,pending,5,Standard (Bodies),5,15,50,B+,50,3.0,1
94,GBPUSD,pending,3,Relaxed (Wicks),10,15,70,A,0,1.5,1
95,GBPUSD,pending,5,Standard (Bodies),5,10,50,B+,30,1.5,1
96,GBPUSD,pending,5,Relaxed (Wicks),10,20,60,C,30,2.0,2
97,GBPUSD,pending,7,Standard (Bodies),5,10,60,B+,50,1.5,2
98,GBPUSD,pending,5,Relaxed (Wicks),5,15,60,C,30,1.5,1
99,GBPUSD,pending,3,Relaxed (Wicks),5,20,50,B+,50,1.5,2
100,GBPUSD,pending,5,Standard (Bodies),10,20,50,A,0,1.5,2
