Trade #,+ R (%),BE,Candle Close,Close,Day,Entry Type,Entry method,Entry model,Liquidity Distance,Loss,News,Open,Potential R,RSI,SL Pips,Session,Trade Score,Win,Zone Type
23,2%,,Beraish,"January 29, 2024 15:25 (GMT+2)",Monday,Default,Candle Close,S&D Retest,8,,No,"January 29, 2024 12:45 (GMT+2)",2%,Between,190,"London, New York",A,,Demand
24,3%,,Beraish,"January 31, 2024 20:40 (GMT+2)",Wednesday,Flip,Candle Close,S&D Retest,49,,No,"January 31, 2024 20:30 (GMT+2)",3%,Between,62,New York,A+,,Supply
25,1.5%,,Beraish,"January 30, 2024 15:55 (GMT+2)",Tuesday,BOC,Candle Close,S&D Retest,39,,No,"January 30, 2024 13:35 (GMT+2)",1.5%,Between,280,"London, New York",A,,Demand
26,-1%,,Beraish,"February 1, 2024 15:25 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,18,Loss,No,"February 1, 2024 15:15 (GMT+2)",2%,Between,176,"London, New York",A,,Demand
27,-1%,,Bullish,"February 1, 2024 15:50 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,32,Loss,No,"February 1, 2024 15:45 (GMT+2)",2%,Between,150,"London, New York",A,,Supply
28,-1%,,Beraish,"February 1, 2024 1:20 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,17,Loss,No,"February 1, 2024 22:35 (GMT+2)",2.5%,Between,100,"New York, Sydney",A+,,Supply
29,-1%,,Bullish,"February 2, 2024 11:55 (GMT+2)",Friday,Default,Candle Close,S&D Retest,35,Loss,No,"February 2, 2024 11:05 (GMT+2)",2.5%,Between,112,London,A,,Demand
30,-1%,,Beraish,"February 5, 2024 1:30 (GMT+2)",Monday,Default,Candle Close,S&D Retest,88,Loss,No,"February 5, 2024 22:20 (GMT+2)",4.5%,Between,44,"New York, Sydney, Tokyo",A,,Demand
31,-1%,,Beraish,"February 6, 2024 10:15 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,26,Loss,No,"February 6, 2024 10:10 (GMT+2)",3%,Between,59,"London, Tokyo",A,,Demand
32,-1%,,Beraish,"February 6, 2024 16:45 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,35,Loss,No,"February 6, 2024 16:35 (GMT+2)",3%,Between,59,New York,A,,Demand
33,-1%,,Beraish,"February 7, 2024 12:25 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,71,Loss,No,"February 7, 2024 12:10 (GMT+2)",4.5%,Between,57,London,A,,Demand
34,2%,,Beraish,"February 7, 2024 16:40 (GMT+2)",Wednesday,BOC,Candle Close,S&D Retest,54,,No,"February 7, 2024 16:35 (GMT+2)",2%,Between,224,"London, New York",A,,Demand
35,-1%,,Beraish,"February 9, 2024 10:10 (GMT+2)",Friday,BOC,Candle Close,S&D Retest,6,Loss,No,"February 9, 2024 10:05 (GMT+2)",3%,Between,57,London,B,,Demand
36,-1%,,Beraish,"February 13, 2024 21:25 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,55,Loss,No,"February 13, 2024 21:20 (GMT+2)",4.5%,Between,41,New York,A,,Demand
37,3%,,Bullish,"February 12, 2024 9:50 (GMT+2)",Monday,BOC,Candle Close,S&D Retest,3,,No,"February 12, 2024 9:15 (GMT+2)",3%,Between,64,"London, Tokyo",A+,,Demand
38,-1%,,Beraish,"February 14, 2024 8:45 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,3,Loss,No,"February 14, 2024 8:15 (GMT+2)",4.5%,Between,48,"London, Tokyo",A,,Demand
39,3%,,Beraish,"February 19, 2024 18:00 (GMT+2)",Monday,BOC,Candle Close,S&D Retest,10,,No,"February 19, 2024 17:00 (GMT+2)",3%,Between,80,New York,A+,,Supply
40,2.5%,,Beraish,"February 20, 2024 15:45 (GMT+2)",Tuesday,BOC,Candle Close,S&D Retest,25,,No,"February 20, 2024 15:00 (GMT+2)",2.5%,Between,125,"London, New York",A,,Demand
41,-1%,,Beraish,"February 21, 2024 15:00 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,63,Loss,No,"February 21, 2024 13:00 (GMT+2)",3%,Between,73,"London, New York",A+,,Demand
42,-1%,,Beraish,"February 29, 2024 11:35 (GMT+2)",Thursday,BOC,Candle Close,S&D Retest,14,Loss,No,"February 29, 2024 11:25 (GMT+2)",3%,Between,58,London,B,,Demand
43,-1%,,Bullish,"March 4, 2024 10:45 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,55,Loss,No,"March 4, 2024 10:40 (GMT+2)",3%,Between,58,London,A,,Demand
44,3%,,Bullish,"March 4, 2024 10:05 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,16,,No,"March 5, 2024 9:15 (GMT+2)",3%,Between,88,"London, Tokyo",A+,,Demand
45,-1%,,Bullish,"March 12, 2024 19:25 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,60,Loss,No,"March 12, 2024 19:15 (GMT+2)",2.5%,Between,153,New York,A,,Demand
46,-1%,,Beraish,"March 12, 2024 19:25 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,15,Loss,No,"March 13, 2024 8:00 (GMT+2)",2%,Between,153,"London, Tokyo",A,,Demand
47,1.5%,,Bullish,"March 15, 2024 17:45 (GMT+2)",Friday,Default,Candle Close,S&D Retest,23,,No,"March 15, 2024 17:00 (GMT+2)",1.5%,Between,266,New York,A,,Supply
48,2.5%,,Beraish,"March 20, 2024 15:25 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,22,,No,"March 20, 2024 15:10 (GMT+2)",2.5%,Between,123,"London, New York",A+,,Supply
49,-1%,,Beraish,"March 26, 2024 14:40 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,21,Loss,No,"March 26, 2024 14:35 (GMT+2)",2.5%,Between,167,London,A+,,Demand
50,2%,,Bullish,"April 1, 2024 15:05 (GMT+3)",Monday,Default,Candle Close,S&D Retest,35,,No,"April 1, 2024 14:35 (GMT+3)",2%,Between,238,London,A,,Supply
51,8.2%,,Beraish,"April 2, 2024 19:35 (GMT+3)",Tuesday,Flip,Candle Close,S&D Retest,64,,No,"April 2, 2024 18:30 (GMT+3)",8.2%,Between,110,"London, New York",A+,,Demand
52,2.5%,,Beraish,"April 3, 2024 23:20 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,120,,No,"April 3, 2024 22:25 (GMT+3)",2.5%,Between,129,New York,A,,Demand
53,3%,,Bullish,"April 4, 2024 14:00 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,14,,No,"April 4, 2024 13:35 (GMT+3)",3%,Between,61,London,A,,Demand
54,-1%,,Bullish,"April 9, 2024 17:10 (GMT+3)",Friday,BOC,Candle Close,S&D Retest,45,Loss,No,"April 9, 2024 16:35 (GMT+3)",1.5%,Between,599,"London, New York",B,,Supply
55,1.5%,,Beraish,"April 5, 2024 12:40 (GMT+3)",Friday,BOC,Candle Close,S&D Retest,125,,No,"April 5, 2024 11:40 (GMT+3)",1.5%,Between,225,London,B,,Demand
56,3%,,Beraish,"April 11, 2024 8:30 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,119,,No,"April 11, 2024 7:35 (GMT+3)",3%,Between,77,"London, Tokyo",A,,Demand
57,-1%,,Beraish,"April 11, 2024 11:35 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,113,Loss,No,"April 11, 2024 11:20 (GMT+3)",2%,Between,214,"London, Tokyo",A,,Demand
58,1.5%,,Bullish,"April 15, 2024 18:00 (GMT+3)",Monday,Default,Candle Close,S&D Retest,88,,No,"April 15, 2024 17:55 (GMT+3)",1.5%,Between,331,"London, New York",A,,Supply
59,2%,,Bullish,"April 16, 2024 14:05 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,11,,No,"April 16, 2024 13:30 (GMT+3)",2%,Between,164,London,A,,Demand
60,-1%,,Bullish,"April 16, 2024 6:20 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,16,Loss,No,"April 16, 2024 6:05 (GMT+3)",1.5%,Between,248,"Sydney, Tokyo",B,,Supply
61,1.5%,,Bullish,"May 1, 2024 18:00 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,137,,No,"May 1, 2024 17:45 (GMT+3)",1.5%,Between,336,"London, New York",A+,,Demand
62,2%,,Bullish,"May 7, 2024 11:10 (GMT+3)",Monday,Default,Candle Close,S&D Retest,63,,No,"May 7, 2024 10:45 (GMT+3)",2%,Between,172,London,A+,,Supply
63,-1%,,Beraish,"May 7, 2024 20:05 (GMT+3)",Monday,BOC,Candle Close,S&D Retest,127,Loss,No,"May 7, 2024 18:00 (GMT+3)",1.5%,Between,485,"London, New York",B,,Demand
64,-1%,,Beraish,"May 8, 2024 16:15 (GMT+3)",Wednesday,BOC,Candle Close,S&D Retest,25,Loss,No,"May 8, 2024 15:00 (GMT+3)",1.5%,Between,260,"London, New York",B,,Demand
65,-1%,,Beraish,"May 8, 2024 22:10 (GMT+3)",Wednesday,BOC,Candle Close,S&D Retest,67,Loss,No,"May 8, 2024 21:30 (GMT+3)",2.5%,Between,114,New York,A,,Demand
66,1.5%,,Beraish,"May 9, 2024 16:25 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,139,,No,"May 9, 2024 16:20 (GMT+3)",1.5%,Between,254,"London, New York",A,,Demand
67,-1%,,Bullish,"May 14, 2024 10:20 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,68,Loss,No,"May 14, 2024 9:40 (GMT+3)",2%,Between,181,"London, Tokyo",A,,Demand
68,3%,,Bullish,"May 15, 2024 4:30 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,47,,No,"May 14, 2024 22:20 (GMT+3)",3%,Between,96,"New York, Sydney, Tokyo",A,,Demand
69,2.5%,,Beraish,"May 15, 2024 15:25 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,44,,No,"May 15, 2024 15:05 (GMT+3)",2.5%,Between,148,London,A+,,Supply
70,1.5%,,Beraish,"May 20, 2024 10:05 (GMT+3)",Monday,Default,Candle Close,S&D Retest,165,,No,"May 20, 2024 9:40 (GMT+3)",1.5%,Between,388,London,A,,Demand
71,1.5%,,Beraish,"May 21, 2024 8:55 (GMT+3)",Tuesday,BOC,Candle Close,S&D Retest,106,,No,"May 21, 2024 8:00 (GMT+3)",1.5%,Between,288,Tokyo,A,,Demand
72,2%,,Bullish,"May 22, 2024 10:25 (GMT+3)",Wednesday,BOC,Candle Close,S&D Retest,22,,No,"May 22, 2024 10:15 (GMT+3)",2%,Between,186,London,A,,Supply
73,-1%,,Beraish,"May 23, 2024 8:35 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,46,Loss,No,"May 23, 2024 8:10 (GMT+3)",2%,Between,182,Tokyo,A,,Demand
74,3%,,Beraish,"June 3, 2024 8:40 (GMT+3)",Monday,Default,Candle Close,S&D Retest,74,,No,"June 3, 2024 8:25 (GMT+3)",3%,Between,106,Tokyo,A,,Supply
75,2.5%,,Beraish,"June 3, 2024 13:40 (GMT+3)",Monday,Default,Candle Close,S&D Retest,18,,No,"June 3, 2024 12:30 (GMT+3)",2.5%,Between,151,London,A,,Demand
76,-1%,,Bullish,"June 7, 2024 20:45 (GMT+3)",Friday,Default,Candle Close,S&D Retest,112,Loss,No,"June 7, 2024 20:25 (GMT+3)",1.5%,Between,230,New York,A,,Demand
77,1.5%,,Bullish,"June 10, 2024 18:40 (GMT+3)",Monday,Default,Candle Close,S&D Retest,219,,No,"June 10, 2024 16:50 (GMT+3)",1.5%,Between,300,"London, New York",B,,Demand
78,-1%,,Bullish,"June 17, 2024 16:05 (GMT+3)",Monday,BOC,Candle Close,S&D Retest,200,Loss,No,"June 17, 2024 15:50 (GMT+3)",1.5%,Between,300,"London, New York",B,,Supply
79,-1%,,Beraish,"June 18, 2024 15:15 (GMT+3)",Tuesday,BOC,Candle Close,S&D Retest,95,Loss,No,"June 18, 2024 14:50 (GMT+3)",2.5%,Between,148,London,A+,,Supply
80,-1%,,Bullish,"June 19, 2024 12:30 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,23,Loss,No,"June 19, 2024 12:10 (GMT+3)",3%,Between,148,London,A,,Supply
81,-1%,,Bullish,"June 19, 2024 14:00 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,57,Loss,No,"June 19, 2024 13:00 (GMT+3)",3%,Between,90,London,A,,Demand
82,-1%,,Beraish,"June 21, 2024 15:45 (GMT+3)",Friday,Default,Candle Close,S&D Retest,129,Loss,No,"June 21, 2024 15:35 (GMT+3)",2%,Between,162,London,B,,Supply
83,1.5%,,Beraish,"June 25, 2024 18:30 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,10,,No,"June 25, 2024 17:25 (GMT+3)",1.5%,Between,383,"London, New York",A,,Supply
84,2.5%,,Bullish,"June 26, 2024 21:40 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,10,,No,"June 26, 2024 20:20 (GMT+3)",2.5%,Between,126,New York,A,,Supply
85,2%,,Bullish,"July 1, 2024 23:00 (GMT+3)",Monday,Default,Candle Close,S&D Retest,26,,No,"July 1, 2024 19:55 (GMT+3)",2%,Between,180,New York,A,,Demand
86,3%,,Beraish,"July 4, 2024 17:15 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,42,,No,"July 4, 2024 15:35 (GMT+3)",3%,Between,82,"London, New York",A+,,Demand
87,-1%,,Beraish,"July 11, 2024 9:30 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,76,Loss,No,"July 11, 2024 9:20 (GMT+3)",2.5%,Between,110,"London, New York",A+,,Demand
88,2%,,Beraish,"July 15, 2024 13:05 (GMT+3)",Monday,Default,Candle Close,S&D Retest,5,,No,"July 15, 2024 12:40 (GMT+3)",2%,Between,154,London,B,,Demand
90,2%,,Bullish,"July 16, 2024 16:30 (GMT+3)",Wednesday,Flip,Candle Close,S&D Retest,10,,No,"July 17, 2024 16:30 (GMT+3)",2%,Between,166,"London, New York",A+,,Demand
89,-1%,,Beraish,"July 16, 2024 15:20 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,15,Loss,No,"July 16, 2024 14:25 (GMT+3)",2.5%,Between,128,London,B,,Supply
91,2%,,Beraish,"July 18, 2024 9:30 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,9,,No,"July 18, 2024 9:05 (GMT+3)",2%,Between,180,Tokyo,A,,Demand
92,-1%,,Beraish,"July 22, 2024 14:35 (GMT+3)",Monday,Default,Candle Close,S&D Retest,89,Loss,No,"July 22, 2024 14:25 (GMT+3)",2.5%,Between,120,London,A,,Demand
93,-1%,,Beraish,"July 29, 2024 14:25 (GMT+3)",Monday,Default,Candle Close,S&D Retest,74,Loss,No,"July 29, 2024 14:15 (GMT+3)",2.5%,Between,142,London,A,,Demand
94,1.5%,,Beraish,"July 31, 2024 11:45 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,19,,No,"July 31, 2024 11:35 (GMT+3)",1.5%,Between,205,"London, Tokyo",A,,Demand
95,2.5%,,Beraish,"July 31, 2024 15:30 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,23,,No,"July 31, 2024 15:10 (GMT+3)",2.5%,Between,133,London,A,,Demand
96,2.5%,,Beraish,"July 31, 2024 21:30 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,11,,No,"July 31, 2024 21:15 (GMT+3)",2.5%,Between,135,London,A,,Demand
97,1.5%,,Beraish,"August 7, 2024 14:55 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,95,,No,"August 7, 2024 14:45 (GMT+3)",1.5%,Between,321,London,A,,Demand
98,-1%,,Beraish,"August 7, 2024 18:25 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,147,Loss,No,"August 7, 2024 16:50 (GMT+3)",1.5%,Between,297,"London, New York",B,,Demand
99,1.5%,,Beraish,"August 9, 2024 17:05 (GMT+3)",Friday,Default,Candle Close,S&D Retest,10,,No,"August 9, 2024 16:50 (GMT+3)",1.5%,Between,306,"London, New York",A,,Demand
100,2.5%,,Beraish,"August 9, 2024 8:30 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,74,,No,"August 29, 2024 8:10 (GMT+3)",2.5%,Between,113,"Sydney, Tokyo",B,,Demand
101,-1%,,Beraish,"August 9, 2024 12:50 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,10,Loss,No,"August 29, 2024 12:40 (GMT+3)",2%,Between,189,London,A,,Demand
102,3%,,Beraish,"September 5, 2024 11:00 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,89,,No,"September 5, 2024 10:55 (GMT+3)",3%,Between,242,"London, Tokyo",B,,Demand
103,2%,,Bullish,"September 5, 2024 11:00 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,104,,No,"September 5, 2024 17:20 (GMT+3)",2%,Between,343,"London, New York",A,,Supply
104,1.5%,,Bullish,"September 20, 2024 18:40 (GMT+3)",Friday,Default,Candle Close,S&D Retest,117,,No,"September 20, 2024 18:15 (GMT+3)",1.5%,Between,336,New York,A,,Supply
105,2%,,Bullish,"September 23, 2024 15:45 (GMT+3)",Monday,Default,Candle Close,S&D Retest,41,,No,"September 23, 2024 15:25 (GMT+3)",2%,Between,185,"London, New York",B,,Demand
106,-1%,,Bullish,"September 24, 2024 10:35 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,180,Loss,No,"September 24, 2024 9:00 (GMT+3)",1.5%,Between,270,"London, Tokyo",A,,Demand
107,-1%,,Bullish,"September 25, 2024 9:10 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,48,Loss,No,"September 25, 2024 8:50 (GMT+3)",1.5%,Between,395,"Sydney, Tokyo",A,,Demand
,,,,,,,,,,,No,,,,,,,,
108,-1%,,Beraish,"September 25, 2024 15:00 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,55,Loss,No,"September 25, 2024 14:00 (GMT+3)",1.5%,Between,131,London,B,,Demand
109,-1%,,Beraish,"September 26, 2024 15:30 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,152,Loss,No,"September 26, 2024 15:15 (GMT+3)",1.5%,Between,482,London,B+,,Demand
110,-1%,,Bullish,"September 26, 2024 16:10 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,28,Loss,No,"September 26, 2024 15:40 (GMT+3)",1.5%,Between,519,London,B+,,Demand
111,-1%,,Beraish,"October 2, 2024 15:25 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,15,Loss,No,"October 2, 2024 15:15 (GMT+3)",1.5%,Between,367,"London, New York",C+,,Demand
112,2%,,Beraish,"October 3, 2024 15:00 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,23,,No,"October 3, 2024 14:25 (GMT+3)",2%,Between,180,London,B+,,Demand
113,2.5%,,Beraish,"October 14, 2024 21:25 (GMT+3)",Monday,Default,Candle Close,S&D Retest,15,,No,"October 14, 2024 20:50 (GMT+3)",2.5%,Between,88,New York,B+,,Demand
114,1.5%,,Bullish,"October 17, 2024 8:10 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,90,,No,"October 17, 2024 6:45 (GMT+3)",1.5%,Between,237,"Sydney, Tokyo",A+,,Demand
115,-1%,,Beraish,"October 17, 2024 10:25 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,95,Loss,No,"October 17, 2024 10:10 (GMT+3)",1.5%,Between,237,"London, Tokyo",A,,Demand
116,-1%,,Bullish,"October 18, 2024 9:10 (GMT+3)",Friday,Default,Candle Close,S&D Retest,2,Loss,No,"October 18, 2024 9:05 (GMT+3)",1.5%,Between,310,Tokyo,A+,,Demand
117,2.5%,,Beraish,"October 22, 2024 9:15 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,34,,No,"October 22, 2024 8:50 (GMT+3)",2.5%,Between,140,"Sydney, Tokyo",B+,,Demand
118,1.5%,,Bullish,"October 28, 2024 9:15 (GMT+2)",Monday,Default,Candle Close,S&D Retest,25,,No,"October 28, 2024 14:55 (GMT+2)",1.5%,Between,317,London,B,,Demand
119,-1%,,Bullish,"November 1, 2024 16:20 (GMT+2)",Friday,Default,Candle Close,S&D Retest,36,Loss,No,"November 1, 2024 15:30 (GMT+2)",1.5%,Between,305,"London, New York",B+,,Demand
120,-1%,,Beraish,"November 4, 2024 21:40 (GMT+2)",Monday,Default,Candle Close,S&D Retest,22,Loss,No,"November 4, 2024 20:40 (GMT+2)",1.5%,Between,155,New York,A+,,Supply
121,1.5%,,Bullish,"November 8, 2024 14:50 (GMT+2)",Friday,Default,Candle Close,S&D Retest,58,,No,"November 8, 2024 14:25 (GMT+2)",1.5%,Between,241,"London, New York",B+,,Supply
122,-1%,,Beraish,"November 13, 2024 10:10 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,52,Loss,No,"November 13, 2024 7:35 (GMT+2)",1.5%,Between,196,"Sydney, Tokyo",A,,Supply
123,-1%,,Beraish,"November 18, 2024 19:20 (GMT+2)",Monday,Default,Candle Close,S&D Retest,49,Loss,No,"November 18, 2024 19:10 (GMT+2)",2.5%,Between,127,New York,A,,Demand
124,1.5%,,Beraish,"November 21, 2024 13:50 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,145,,No,"November 21, 2024 11:50 (GMT+2)",1.5%,Between,368,London,A,,Demand
125,2.5%,,Bullish,"November 21, 2024 15:05 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,145,,No,"November 21, 2024 15:00 (GMT+2)",2.5%,Between,164,"London, New York",A+,,Demand
126,1.5%,,Bullish,"November 25, 2024 16:00 (GMT+2)",Monday,Default,Candle Close,S&D Retest,137,,No,"November 25, 2024 15:30 (GMT+2)",1.5%,Between,575,"London, New York",B+,,Supply
127,2.5%,,Bullish,"November 26, 2024 9:00 (GMT+2)",Tuesday,BOC,Candle Close,S&D Retest,137,,No,"November 26, 2024 8:10 (GMT+2)",2.5%,Between,164,"Sydney, Tokyo",A,,Supply
128,-1%,,Beraish,"November 29, 2024 16:25 (GMT+2)",Friday,BOC,Candle Close,S&D Retest,34,Loss,No,"November 29, 2024 15:15 (GMT+2)",1.5%,Between,347,"London, New York",A,,Demand
129,2.31%,,Bullish,"December 2, 2024 22:10 (GMT+2)",Monday,BOC,Candle Close,S&D Retest,54,,No,"December 2, 2024 21:20 (GMT+2)",2.31%,Between,148,New York,B+,,Supply
130,1.5%,,Bullish,"December 3, 2024 15:15 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,10,,No,"December 3, 2024 15:00 (GMT+2)",1.5%,Between,252,"London, New York",C+,,Demand
131,2.5%,,Bullish,"December 13, 2024 8:25 (GMT+2)",Friday,Default,Candle Close,S&D Retest,23,,No,"December 13, 2024 7:45 (GMT+2)",2.5%,Between,130,"Sydney, Tokyo",C+,,Supply
132,2.5%,,Bullish,"December 18, 2024 9:30 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,23,,No,"December 18, 2024 7:45 (GMT+2)",2.5%,Between,142,"Sydney, Tokyo",C+,,Supply
133,-1%,,Bullish,"December 31, 2024 8:55 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,5,Loss,No,"December 31, 2024 8:30 (GMT+2)",2%,Between,186,"Sydney, Tokyo",C+,,Supply
